groupItemTitle,outcomes,outcomePrices,volumeNum,volumeClob,enableOrderBook,active,clobTokenIds,event_ticker,event_title,event_description,event_volume,event_country,event_electionType,event_commentCount,correct_outcome,yes_token_id,closing_price,price_2days_prior,pre_election_vwap_48h,price_volatility,price_range,final_week_momentum,price_fluctuations,last_trade_price,prediction_error,prediction_confidence,market_duration_days,trading_frequency,buy_sell_ratio,trading_continuity,late_stage_participation,volume_acceleration,unique_traders_count,trader_to_trade_ratio,two_way_traders_ratio,trader_concentration,new_trader_influx,comment_per_vol,comment_per_trader,actual_outcome,brier_score,log_loss,prediction_correct
JD Vance,"[""Yes"", ""No""]","[""1"", ""0""]",6452293.01,6452293.012,True,True,"[""87406562398979962299468279520190492088871692967284999093076550605890113634903"", ""16764379748933413776456293316522911293782189850387236817091803756590382754225""]",republican-vp-nominee,Republican VP nominee?,"qqq
",92565642.12, United States, Vice Presidential,586.0,Yes,8.74e+76,0.998,0.998,0.0269352465,0.170871727,0.015,0.0,0.0,0.998,0.002,0.996,229.0,48.2489083,1.623842318,0.611353712,0.0,4.000694449,1256.0,8.796974522,0.227707006,1.577699339,0.0,9.08E-05,0.46656051,1,4e-06,0.002002003,1.0
AOC,"[""Yes"", ""No""]","[""0"", ""1""]",6367580.896,6367580.896,True,True,"[""28129497386825037037379243277061968980262742905392454218497668677178434960747"", ""65257561360298727478171010332143426620908109490897614744596165093031927755276""]",presidential-election-popular-vote-winner-2024,Popular Vote Winner 2024,This is a market on predicting the winner of the popular vote in the 2024 presidential election.,628163458.5, United States, Presidential Popular Vote,5184.0,No,2.81e+76,0.001,0.001,0.001,2.17e-16,0.0,0.0,0.0,0.001,0.001,0.998,300.0,26.87,0.814723098,0.716666667,0.038084605,1.632197352,2812.0,2.866642959,0.450213371,1.244882769,0.040540541,0.000814124,1.843527738,0,1e-06,0.0010005,1.0
"R Prez, D Senate, R House","[""Yes"", ""No""]","[""0"", ""1""]",6332605.568,6332605.568,True,True,"[""46167212842991355763663772182129837537545167602810511850370601149970675289312"", ""76908233877789633448000722866667937350179184413310158143102080636757076714763""]",balance-of-power-2024-election,Balance of Power: 2024 Election,This is a market on predictions regarding the balance of power in the 2024 election.,80130774.42, United States, Balance of Power,512.0,No,4.6199999999999996e+76,0.006000033,0.005,0.010313417,0.171277974,0.008,0.001,0.0,0.007,0.006000033,0.987999934,194.0,144.5670103,1.369350342,0.948453608,0.267239535,7.406352829,6132.0,4.573711676,0.737279843,1.515973757,0.131278539,8.09E-05,0.083496412,0,3.6e-05,0.006018106,1.0
Kanye West,"[""Yes"", ""No""]","[""0"", ""1""]",6217811.572,6217811.572,True,True,"[""30777809140842882229317311686284197770614977661550617509548101326947463472940"", ""59587929258212215463464876219773328768780089707498469120955390755275303657116""]",presidential-election-popular-vote-winner-2024,Popular Vote Winner 2024,This is a market on predicting the winner of the popular vote in the 2024 presidential election.,628163458.5, United States, Presidential Popular Vote,5184.0,No,3.08e+76,0.001,0.001,0.001,2.17e-16,0.0,0.0,0.0,0.001,0.001,0.998,300.0,21.19333333,0.798585573,0.673333333,0.040893363,1.752572687,2355.0,2.699787686,0.352016985,1.220037748,0.051380042,0.000833734,2.201273885,0,1e-06,0.0010005,1.0
Donald Trump,"[""Yes"", ""No""]","[""1"", ""0""]",6181381.804,6181381.804,True,True,"[""22811156622772246927379314532791131581149105511872861362055243423465705837015"", ""35352876327642053389894511282626265616296126212238181011612882932646625871390""]",nevada-presidential-election-winner,Who will win Nevada?,This is a market on predicting the winner of the presidential election in Nevada.,14747559.13, United States, Presidential,422.0,Yes,2.2799999999999998e+76,0.62,0.56,0.589406716,0.055699656,0.158154474,-0.060000148,0.0,0.619999851,0.38,0.24,242.0,38.01239669,1.690552793,0.826446281,0.606044135,20.95181153,3337.0,2.756667666,0.111477375,1.314816828,0.534611927,6.83E-05,0.126460893,1,0.1444,0.478035801,1.0
Donald Trump,"[""Yes"", ""No""]","[""1"", ""0""]",6074886.86,6074886.862,True,True,"[""59148051098887930522073798732825622149012805909987461569002068477591645842343"", ""114733990148886567565568733250115671234004551000956816448912617232545005008580""]",republican-nominee-2024,Republican Nominee 2024,qq,9397341.455, United States, Presidential Primary,20.0,Yes,5.91e+76,0.996,0.994,0.994784692,0.00178194,0.008,0.006,0.0,0.995,0.004,0.992,181.0,50.67403315,1.110932106,0.906077348,0.142171827,3.676157249,1716.0,5.344988345,0.177738928,1.417684256,0.198135198,3.29E-06,0.011655012,1,1.6e-05,0.004008021,1.0
Tucker Carlson,"[""Yes"", ""No""]","[""0"", ""1""]",6008855.24,6008855.236,True,True,"[""97553024135201691373613563302088115332864115626767537133236579452332434154043"", ""40649751624681797278343085704068186336630873732179235255543656799708526287563""]",republican-vp-nominee,Republican VP nominee?,"qqq
",92565642.12, United States, Vice Presidential,586.0,No,9.76e+76,0.001,0.001,0.0269352465,0.170871727,0.015,0.0,0.0,0.001,0.001,0.998,230.0,32.29130435,1.749722325,0.591304348,0.0,4.000694449,756.0,9.824074074,0.62962963,1.759795341,0.0,9.75E-05,0.775132275,0,1e-06,0.0010005,1.0
Bernie Sanders,"[""Yes"", ""No""]","[""0"", ""1""]",6000187.622,6000187.622,True,True,"[""75910943094982166039223977316010604591808806558706611949340478788515208665617"", ""69313987047092029255342613886137870058260410909010684683053650466971614198868""]",presidential-election-popular-vote-winner-2024,Popular Vote Winner 2024,This is a market on predicting the winner of the popular vote in the 2024 presidential election.,628163458.5, United States, Presidential Popular Vote,5184.0,No,7.59e+76,0.001,0.001,0.001,2.18e-16,0.0,0.0,0.0,0.001,0.001,0.998,300.0,22.68,0.81682243,0.713333333,0.038359788,1.64399093,2421.0,2.810408922,0.347377117,1.249118166,0.051218505,0.000863973,2.141263941,0,1e-06,0.0010005,1.0
Virginia,"[""Yes"", ""No""]","[""0"", ""1""]",5995367.781,5995367.781,True,True,"[""28750260149516156970511939481372188106730151541547457340588851935046819156336"", ""28413275580006800737238361517115701922456589964072707055730509698872918052131""]",us-election-tipping-point-state,Tipping Point State in 2024 Election?,This is a market on which state will be the tipping point in the 2024 U.S. presidential election.,26153232.58, United States, Presidential Tipping Point,128.0,No,2.88e+76,0.007,0.006,0.011723421,0.241637404,0.013,0.0,0.0,0.007,0.007,0.986,111.0,47.36936937,1.008403361,1.162162162,0.488208444,7.741591045,1491.0,3.526492287,0.539906103,1.246481552,0.287055667,2.13E-05,0.085848424,0,4.9e-05,0.007024615,1.0
Kamala Harris,"[""Yes"", ""No""]","[""0"", ""1""]",5973401.632,5973401.632,True,True,"[""71266923597682191255015907302921683041435419763570474059916757401212183782544"", ""108978442313549362504454361386679252793404126602822126829816109429393785765883""]",georgia-presidential-election-winner,Who will win Georgia?,This is a market on the predicted winner of the presidential election in Georgia.,21093404.04, United States, Presidential,236.0,No,7.129999999999999e+76,0.339999994,0.37,0.343380141,0.115844151,0.2,0.060019441,0.0,0.33,0.339999994,0.320000011,242.0,30.11157025,1.993837305,0.657024793,0.409633594,14.16161854,2301.0,3.166883963,0.120382442,1.381775765,0.421555845,3.95E-05,0.102564103,0,0.115599996,0.415515435,1.0
"D Prez, D Senate, R House","[""Yes"", ""No""]","[""0"", ""1""]",5833432.224,5833432.224,True,True,"[""103931010919995781828164224161268088895809185562670781148950698492640674977981"", ""79549327081698121689724031021267035055470470228394552604594328454383346420363""]",balance-of-power-2024-election,Balance of Power: 2024 Election,This is a market on predictions regarding the balance of power in the 2024 election.,80130774.42, United States, Balance of Power,512.0,No,1.04e+77,0.012,0.022,0.01715977,0.261645786,0.015,0.007,0.0,0.015,0.012,0.976,194.0,129.1804124,1.409711538,0.927835052,0.276206057,7.654853586,5375.0,4.662511628,0.647069767,1.514903635,0.10772093,8.78E-05,0.095255814,0,0.000144,0.012072581,1.0
Donald Trump,"[""Yes"", ""No""]","[""1"", ""0""]",5796750.672,5796750.672,True,True,"[""25474014705297439146444713942104010240322868585952420291288261803408266882449"", ""31454277624344502296814136646703964228519023411497330820610411279339678008615""]",north-carolina-presidential-election-winner,Who will win North Carolina?,This is a market on predicting the winner of the presidential election in North Carolina.,15723518.64, United States, Presidential,305.0,Yes,2.5499999999999998e+76,0.650000002,0.64,0.658391941,0.045515093,0.19,-0.02,0.0,0.7,0.349999998,0.300000004,241.0,170.0165975,1.613471106,0.742738589,0.49053058,16.88826712,14343.0,2.856724535,0.296172349,1.255381461,0.447535383,5.26E-05,0.021264728,1,0.122499999,0.430782913,1.0
Joe Biden,"[""Yes"", ""No""]","[""0"", ""1""]",5770423.69,5656984.717,True,True,"[""72044801958932376213942522155627434496146777860490700435168293831379994699414"", ""60777290337556307846082122611643867373415691927705756558171303096586770149710""]",who-will-win-the-us-2024-democratic-presidential-nomination,[Single Markets] Democratic Nominee 2024,This is a market on predicting the Democratic nominee for the 2024 presidential election.,7186550.11, United States, Presidential Primary,84.0,No,7.199999999999999e+76,0.001,0.003,0.001,0.652260147,0.019,-0.004340491,0.0,0.001,0.001,0.998,941.0,4.888416578,1.231926249,0.523910733,0.008043478,1.081273292,998.0,4.609218437,0.26753507,1.480869565,0.027054108,1.46E-05,0.084168337,0,1e-06,0.0010005,1.0
Chris Christie,"[""Yes"", ""No""]","[""0"", ""1""]",5734812.55,5734812.55,True,True,"[""61306976962189810812097934721866362117746782377229725259448374924227781138604"", ""31426417197617137633975358939782720051828155756670195640764694379667181370239""]",presidential-election-popular-vote-winner-2024,Popular Vote Winner 2024,This is a market on predicting the winner of the popular vote in the 2024 presidential election.,628163458.5, United States, Presidential Popular Vote,5184.0,No,6.13e+76,0.001,0.001,0.001,4.35e-16,0.0,0.0,0.0,0.001,0.001,0.998,300.0,21.51333333,0.804809843,0.7,0.050356368,2.158130063,2398.0,2.691409508,0.336530442,1.242950108,0.052543786,0.000903953,2.161801501,0,1e-06,0.0010005,1.0
Vivek Ramaswamy,"[""Yes"", ""No""]","[""0"", ""1""]",5699934.327,5699934.327,True,True,"[""12031858809635504000610041401131669540135796882612719044528274098738528594808"", ""33403325613748583076355274963651372215401291385706508884840685891404665616723""]",presidential-election-popular-vote-winner-2024,Popular Vote Winner 2024,This is a market on predicting the winner of the popular vote in the 2024 presidential election.,628163458.5, United States, Presidential Popular Vote,5184.0,No,1.2e+76,0.001,0.001,0.001,2.17e-16,0.0,0.0,0.0,0.001,0.001,0.998,300.0,24.06333333,0.822059566,0.746666667,0.048898739,2.095660262,2736.0,2.638523392,0.342836257,1.229533176,0.053362573,0.000909484,1.894736842,0,1e-06,0.0010005,1.0
Donald Trump,"[""Yes"", ""No""]","[""0"", ""1""]",5686644.973,5686644.973,True,True,"[""12492345628750728733117864804710670673000799233202537945402703429199967167327"", ""98655764136912778102383796145657646896499703812579130341823339710060217043232""]",virginia-presidential-election-winner,Virginia Presidential Election Winner,This is a market on predicting the winner of the Virginia presidential election.,20499400.97, United States, Presidential,392.0,No,1.25e+76,0.12,0.116814242,0.116965775,0.184484262,0.1,-0.04,0.0,0.12,0.12,0.76,221.0,25.85067873,2.030769231,0.71040724,0.395413968,12.48378385,1871.0,3.053447354,0.092463923,1.305968843,0.323356494,6.89E-05,0.209513629,0,0.0144,0.127833372,1.0
Donald Trump,"[""Yes"", ""No""]","[""1"", ""0""]",5552055.578,5552055.578,True,True,"[""64972410044896218211047269420581789917870192018252181026286744947120013986348"", ""24620775411941217389377740965103998876434043106631115627739856378494039307644""]",arizona-presidential-election-winner,Who will win Arizona?,This is a market on who will win the presidential election in Arizona.,13698822.46, United States, Presidential,226.0,Yes,6.499999999999999e+76,0.76,0.75,0.762059956,0.024316546,0.1,0.05,0.0,0.8,0.24,0.52,243.0,42.58436214,1.734672304,0.732510288,0.554793197,19.25924954,4052.0,2.553800592,0.121668312,1.286722072,0.545409674,4.07E-05,0.055774926,1,0.0576,0.274436846,1.0
"D Prez, R Senate, R House","[""Yes"", ""No""]","[""0"", ""1""]",5546240.024,5546240.024,True,True,"[""35629444424911540854033833805581282525894865134562240313992824142991452360546"", ""59658166739979955015642910311638409776513450405422998760953344989158397038866""]",balance-of-power-2024-election,Balance of Power: 2024 Election,This is a market on predictions regarding the balance of power in the 2024 election.,80130774.42, United States, Balance of Power,512.0,No,3.56e+76,0.058999999,0.08,0.058318689,0.280284324,0.602,-0.003995507,4.0,0.044,0.058999999,0.882000001,194.0,93.46907216,1.635610465,0.902061856,0.363756687,10.08125675,3478.0,5.213628522,0.423806786,1.616555451,0.174238068,9.23E-05,0.147211041,0,0.003481,0.060812138,1.0
"D Prez, R Senate, D House","[""Yes"", ""No""]","[""0"", ""1""]",5535870.048,5535870.048,True,True,"[""110572048196196721190273423098212132965212115169135445849838734204111986977975"", ""84036459298951112484754420094784961938545943306179727019350245142629870908638""]",balance-of-power-2024-election,Balance of Power: 2024 Election,This is a market on predictions regarding the balance of power in the 2024 election.,80130774.42, United States, Balance of Power,512.0,No,1.1099999999999999e+77,0.28,0.279999973,0.266130313,0.129674257,0.25,0.05,0.0,0.25,0.28,0.44,194.0,80.09793814,1.925814348,0.927835052,0.460518695,12.76294669,2220.0,6.99954955,0.163513514,1.66304138,0.344144144,9.25E-05,0.230630631,0,0.0784,0.328504067,1.0
Other,"[""Yes"", ""No""]","[""0"", ""1""]",5495540.123,5495540.123,True,True,"[""50966571729876821765607322724679521241255141948211597054271144782719553276639"", ""42145095195290765000282943283358722479328637686954476912973650086859780148803""]",tunisia-presidential-election-winner,Tunisia Presidential Election Winner,This is a market on predicting the winner of the Tunisia presidential election.,5637148.866, Tunisia, Presidential,8.0,No,5.0999999999999996e+76,0.001,0.005,0.001,1.318562798,0.01,-0.009,0.0,0.001,0.001,0.998,5.0,123.6,1.109215017,1.8,1.0,1.0,120.0,5.15,0.258333333,0.917475728,1.0,1.46E-06,0.066666667,0,1e-06,0.0010005,1.0
Democrats sweep,"[""Yes"", ""No""]","[""0"", ""1""]",5444340.531,5444340.531,True,True,"[""23879627426961662812922169694268707374662971136118079896087093103802667054172"", ""47409381172023721466480360988176079028561606121909173291379114883147018350487""]",balance-of-power-2024-election,Balance of Power: 2024 Election,This is a market on predictions regarding the balance of power in the 2024 election.,80130774.42, United States, Balance of Power,512.0,No,2.39e+76,0.14,0.16,0.168031167,0.127111912,0.099999999,0.010000007,0.0,0.15,0.14,0.72,194.0,70.58762887,1.85529608,0.932989691,0.430407478,11.92843581,1610.0,8.505590062,0.217391304,1.733386885,0.322981366,9.40E-05,0.318012422,0,0.0196,0.15082289,1.0
Elizabeth Warren,"[""Yes"", ""No""]","[""0"", ""1""]",5356970.027,5356970.027,True,True,"[""102782410757526140429455126413850191766345626760834101578743259194107922948629"", ""39736414045653384042688027284643069565402187589153790639400550648378593995538""]",presidential-election-popular-vote-winner-2024,Popular Vote Winner 2024,This is a market on predicting the winner of the popular vote in the 2024 presidential election.,628163458.5, United States, Presidential Popular Vote,5184.0,No,1.0299999999999999e+77,0.001,0.001,0.001,2.17e-16,0.0,0.0,0.0,0.001,0.001,0.998,300.0,19.05,0.862777053,0.713333333,0.040769904,1.74728159,1973.0,2.896604156,0.307146477,1.313735783,0.055245819,0.000967711,2.627470857,0,1e-06,0.0010005,1.0
Kamala Harris,"[""Yes"", ""No""]","[""0"", ""1""]",5178103.423,5178103.423,True,True,"[""77888176678720060596595785704561867851638990901352765132303721825934989281472"", ""113706817137934173084113171765841465765345118947726422900042392575724414672344""]",arizona-presidential-election-winner,Who will win Arizona?,This is a market on who will win the presidential election in Arizona.,13698822.46, United States, Presidential,226.0,No,7.789999999999999e+76,0.24,0.240000004,0.247844752,0.058405801,0.09,-0.02,0.0,0.23,0.24,0.519999999,243.0,28.37860082,1.718171068,0.679012346,0.48187355,16.72789609,1812.0,3.805739514,0.209713024,1.353973318,0.515452539,4.36E-05,0.124724062,0,0.0576,0.274436846,1.0
Kamala Harris,"[""Yes"", ""No""]","[""0"", ""1""]",5159200.178,5159200.178,True,True,"[""23452090462928163585257733383879365528898800849298930788345778676568194082451"", ""18451662766052921550337197202319358927639757816615225507586069380328523693166""]",nevada-presidential-election-winner,Who will win Nevada?,This is a market on predicting the winner of the presidential election in Nevada.,14747559.13, United States, Presidential,422.0,No,2.3499999999999998e+76,0.4,0.43,0.417254548,0.084456044,0.16,0.050021781,0.0,0.38,0.4,0.2,242.0,35.54958678,1.574977552,0.785123967,0.38916657,13.45404427,2563.0,3.356613344,0.231759657,1.339184006,0.359344518,8.18E-05,0.1646508,0,0.16,0.510825624,1.0
Kamala Harris,"[""Yes"", ""No""]","[""0"", ""1""]",5152322.442,5152322.442,True,True,"[""100038420537482572525556691531865148324318723289388392794253042393988283565188"", ""101272812948536211258847407959163788635306115033157032235160475699617990849525""]",north-carolina-presidential-election-winner,Who will win North Carolina?,This is a market on predicting the winner of the presidential election in North Carolina.,15723518.64, United States, Presidential,305.0,No,1e+77,0.349999961,0.369999998,0.348389215,0.115020068,0.22,0.020000018,0.0,0.32,0.349999961,0.300000077,241.0,162.1576763,1.348416562,0.618257261,0.478480041,16.47338427,12351.0,3.164116266,0.529106955,1.262922211,0.478179904,5.92E-05,0.024694357,0,0.122499973,0.430782856,1.0
Kamala Harris,"[""Yes"", ""No""]","[""0"", ""1""]",5092982.501,5092982.501,True,True,"[""7374237615890526880478224649885278725219793468355446734533315746155037370158"", ""9957028331163987805873971753654507302936617692682833719706803039129302643823""]",wisconsin-presidential-election-winner,Who will win Wisconsin?,This is a market on the winner of the Wisconsin presidential election.,13281411.26, United States, Presidential,334.0,No,7.37e+75,0.59,0.59,0.576678988,0.09905212,0.2,0.12,1.0,0.54,0.59,0.18,242.0,40.26859504,1.721306898,0.710743802,0.324884556,11.23172323,3140.0,3.103503185,0.206687898,1.346844536,0.299363057,6.56E-05,0.106369427,0,0.3481,0.891598119,0.0
Ben Carson,"[""Yes"", ""No""]","[""0"", ""1""]",4993587.5,4993587.496,True,True,"[""12984464721928974901008319473515842286719090811280039836128333307015059841267"", ""24987334955848704721720619730426406183952689069583370508550937464906231805025""]",republican-vp-nominee,Republican VP nominee?,"qqq
",92565642.12, United States, Vice Presidential,586.0,No,1.3e+76,0.001,0.001,0.0269352465,0.170871727,0.015,0.0,0.0,0.001,0.001,0.998,230.0,31.88695652,1.855919003,0.691304348,0.0,4.000694449,515.0,14.2407767,0.188349515,1.732887919,0.0,0.000117351,1.137864078,0,1e-06,0.0010005,1.0
Other,"[""Yes"", ""No""]","[""0"", ""1""]",4982822.834,4982822.834,True,True,"[""71097249530470508902861793114741089562432988794462933841611922719339007885785"", ""90602276408670557027408978783188477993414226547370404225548684698028163805706""]",arizona-us-senate-election-winner,Arizona Senate Election Winner,This is a market on predicting the winner of the Arizona Senate election.,19995783.96, United States, Senate,1942.0,No,7.109999999999999e+76,0.001,0.001,0.00706617,1.064252645,0.019,0.012772371,0.0,0.013772371,0.001,0.998,215.0,45.7627907,1.130114743,0.488372093,0.391096656,12.01225444,2431.0,4.047305636,0.563965446,1.398414473,0.210612916,0.000389739,0.798848211,0,1e-06,0.0010005,1.0
Tim Scott,"[""Yes"", ""No""]","[""0"", ""1""]",4881266.8,4881266.796,True,True,"[""96581242105925530720067597798293176070850090828087280834387218365384943182684"", ""40654422874249160221370926825862410995988050455463614751128678151002386837711""]",republican-vp-nominee,Republican VP nominee?,"qqq
",92565642.12, United States, Vice Presidential,586.0,No,9.659999999999999e+76,0.001,0.001,0.0269352465,0.170871727,0.015,0.0,0.0,0.001,0.001,0.998,230.0,41.86521739,1.633752735,0.730434783,0.0,4.000694449,1269.0,7.58786446,0.260835303,1.689895109,0.0,0.000120051,0.46178093,0,1e-06,0.0010005,1.0
Other,"[""Yes"", ""No""]","[""0"", ""1""]",4776418.44,4776418.44,True,True,"[""107893877117172651337633861305942172920549944485389185799482514017983614676951"", ""86880762101401386532499499551168760751416168057555342511375236617186871984326""]",new-york-presidential-election-winner-2024,New York Presidential Election Winner,This is a market on predicting the winner of the presidential election in New York.,11185567.1, United States, Presidential,109.0,No,1.08e+77,0.001,0.001,0.001,0.0,0.0,0.0,0.0,0.001,0.001,0.998,221.0,39.11764706,1.200305421,0.542986425,0.020589936,0.650053706,2244.0,3.852495544,0.714795009,1.313591671,0.028966132,2.28E-05,0.048573975,0,1e-06,0.0010005,1.0
Other,"[""Yes"", ""No""]","[""0"", ""1""]",4774445.53,4774445.53,True,True,"[""102882968950824538225124981058677071047276589919189992591647056593820247400098"", ""57899997782541660447111090048030947466591546642868195108380529297811135460408""]",north-carolina-presidential-election-winner,Who will win North Carolina?,This is a market on predicting the winner of the presidential election in North Carolina.,15723518.64, United States, Presidential,305.0,No,1.0299999999999999e+77,0.001,0.001,0.001,0.298194619,0.001,0.0,0.0,0.001,0.001,0.998,239.0,59.22594142,1.212755979,0.531380753,0.031155069,1.063723066,3969.0,3.566389519,0.732678256,1.30660544,0.046359284,6.39E-05,0.076845553,0,1e-06,0.0010005,1.0
Kamala Harris,"[""Yes"", ""No""]","[""1"", ""0""]",4684337.337,4684337.337,True,True,"[""27523375682021765390588187766633015068126055655405967473976256668819938305564"", ""100012098696512710839019980186408856624583838884974450954169454065204180810679""]",virginia-presidential-election-winner,Virginia Presidential Election Winner,This is a market on predicting the winner of the Virginia presidential election.,20499400.97, United States, Presidential,392.0,Yes,2.7499999999999997e+76,0.889999911,0.904802966,0.890146207,0.030679342,0.11,0.059999955,0.0,0.889999955,0.110000089,0.779999822,221.0,51.81447964,1.732935561,0.714932127,0.284778622,8.990867922,3602.0,3.179067185,0.22098834,1.320496027,0.240699611,8.37E-05,0.108828429,1,0.01210002,0.116533916,1.0
Kamala Harris,"[""Yes"", ""No""]","[""0"", ""1""]",4610012.908,4610012.908,True,True,"[""12114007747517340384640770826667371719468965613575901863343538277669045189268"", ""42931484859503950946156195721873929060179594500552644597117140385769630841228""]",florida-presidential-election-winner,Florida Presidential Election Winner,This is a market on predicting the winner of the presidential election in Florida.,13097068.1, United States, Presidential,112.0,No,1.21e+76,0.062000045,0.061,0.070150557,0.142985826,0.07,-0.017999998,0.0,0.052,0.062000045,0.87599991,230.0,11.75652174,2.924528302,0.62173913,0.454881657,14.94611158,888.0,3.045045045,0.088963964,1.384985207,0.528153153,2.43E-05,0.126126126,0,0.003844006,0.064005378,1.0
Nikki Haley,"[""Yes"", ""No""]","[""0"", ""1""]",4569010.35,4569010.35,True,True,"[""72462478820433151532313520112462108397343969492178458376246416428831348238834"", ""40924273697737872686600059529279073019619313414599573381893465429676145764223""]",republican-vp-nominee,Republican VP nominee?,"qqq
",92565642.12, United States, Vice Presidential,586.0,No,7.249999999999999e+76,0.001,0.001,0.0269352465,0.170871727,0.015,0.0,0.0,0.001,0.001,0.998,230.0,30.02608696,1.916385135,0.704347826,0.0,4.000694449,496.0,13.9233871,0.276209677,1.739936287,0.0,0.000128255,1.181451613,0,1e-06,0.0010005,1.0
Other,"[""Yes"", ""No""]","[""0"", ""1""]",4469545.407,4469545.407,True,True,"[""52992166502451164365193740990950282432449117079746426144349831800207221048654"", ""91775399510919891581288480282723273367689114955028479212215398007601236679888""]",florida-presidential-election-winner,Florida Presidential Election Winner,This is a market on predicting the winner of the presidential election in Florida.,13097068.1, United States, Presidential,112.0,No,5.2999999999999995e+76,0.001,0.001,0.00100286,0.660844838,0.003,0.0,0.0,0.001,0.001,0.998,230.0,45.21304348,1.112759041,0.517391304,0.049812482,1.636695836,2949.0,3.526280095,0.735503561,1.307144918,0.067141404,2.51E-05,0.037978976,0,1e-06,0.0010005,1.0
Kristi Noem,"[""Yes"", ""No""]","[""0"", ""1""]",4356530.86,4356530.855,True,True,"[""65092927370852609662885428385644509696459664248264148366229964110037087971304"", ""43529010529565039630937879806781635251622372286348439414181707787960235726988""]",republican-vp-nominee,Republican VP nominee?,"qqq
",92565642.12, United States, Vice Presidential,586.0,No,6.51e+76,0.001,0.001,0.0269352465,0.170871727,0.015,0.0,0.0,0.001,0.001,0.998,230.0,29.96521739,1.856195607,0.734782609,0.0,4.000694449,486.0,14.18106996,0.405349794,1.758850842,0.0,0.000134511,1.205761317,0,1e-06,0.0010005,1.0
Donald Trump,"[""Yes"", ""No""]","[""1"", ""0""]",4183199.189,4183199.189,True,True,"[""8506489790932625039746959405160059426243994232527626857062384302531008283468"", ""37895399735091212468277241955774995998030599087730955643490691793429355663153""]",wisconsin-presidential-election-winner,Who will win Wisconsin?,This is a market on the winner of the Wisconsin presidential election.,13281411.26, United States, Presidential,334.0,Yes,8.51e+75,0.419999995,0.429999987,0.426866112,0.112346727,0.35,-0.13,29.0,0.46,0.580000005,0.160000009,242.0,30.59504132,2.079866889,0.714876033,0.439222042,15.18453346,3000.0,2.468,0.109,1.322933549,0.322333333,7.98E-05,0.111333333,1,0.336400006,0.86750058,0.0
Robert F. Kennedy Jr.,"[""Yes"", ""No""]","[""0"", ""1""]",4035172.28,4035172.278,True,True,"[""83245108922680562164687831840713243709674057132168197903564503391895040798659"", ""52915501028860127739640603612782610342559797171288577280358435383010939844593""]",republican-vp-nominee,Republican VP nominee?,"qqq
",92565642.12, United States, Vice Presidential,586.0,No,8.32e+76,0.001,0.001,0.0269352465,0.170871727,0.015,0.0,0.0,0.001,0.001,0.998,230.0,27.12608696,2.053842389,0.556521739,0.0,4.000694449,449.0,13.89532294,0.175946548,1.764385318,0.0,0.000145223,1.305122494,0,1e-06,0.0010005,1.0
Donald Trump,"[""Yes"", ""No""]","[""1"", ""0""]",4017509.788,4017509.788,True,True,"[""98021166935117039411751630581502824091054448039251810280365647472625878604011"", ""24428179421778642925238549045985174108302551459497422477934158540719687045975""]",florida-presidential-election-winner,Florida Presidential Election Winner,This is a market on predicting the winner of the presidential election in Florida.,13097068.1, United States, Presidential,112.0,Yes,9.799999999999999e+76,0.93,0.94,0.938315229,0.009375285,0.05,0.010000043,0.0,0.95,0.07,0.86,230.0,35.83913043,1.844375431,0.713043478,0.365279631,12.00204503,2933.0,2.810433004,0.127173542,1.308989446,0.401977497,2.79E-05,0.038186158,1,0.0049,0.072570693,1.0
Other,"[""Yes"", ""No""]","[""0"", ""1""]",4005229.567,4005229.567,True,True,"[""15445683044807245440643964562749794547997278062786769129998648705745735794884"", ""19471816093184171720567002785947355544067857034573966306794855872869378777905""]",wisconsin-presidential-election-winner,Who will win Wisconsin?,This is a market on the winner of the Wisconsin presidential election.,13281411.26, United States, Presidential,334.0,No,1.54e+76,0.001,0.001,0.001,2.17e-16,0.0,0.0,0.0,0.001,0.001,0.998,242.0,37.66528926,1.111419968,0.520661157,0.026220516,0.906480683,2930.0,3.110921502,0.776109215,1.27964893,0.031740614,8.34E-05,0.113993174,0,1e-06,0.0010005,1.0
Trump Family member,"[""Yes"", ""No""]","[""0"", ""1""]",3805135.7,3805135.699,True,True,"[""93213286383600063676438737797047439483548956628672349516600248091740027518309"", ""6574980009641514929339704403291723892073145639615362516026435011927426669546""]",republican-vp-nominee,Republican VP nominee?,"qqq
",92565642.12, United States, Vice Presidential,586.0,No,9.32e+76,0.001,0.001,0.0269352465,0.170871727,0.015,0.0,0.0,0.001,0.001,0.998,222.0,26.23873874,2.046548117,0.518018018,0.0,4.000694449,318.0,18.31761006,0.342767296,1.806351931,0.0,0.000154002,1.842767296,0,1e-06,0.0010005,1.0
Byron Donalds,"[""Yes"", ""No""]","[""0"", ""1""]",3760323.9,3760323.899,True,True,"[""32534626729519832266413442444639573111201431585971744234878466079147385906808"", ""22579474534546917777033089137402301241793298009850596177268004658949805189963""]",republican-vp-nominee,Republican VP nominee?,"qqq
",92565642.12, United States, Vice Presidential,586.0,No,3.2499999999999996e+76,0.001,0.001,0.0269352465,0.170871727,0.015,0.0,0.0,0.001,0.001,0.998,230.0,30.23478261,1.854679803,0.526086957,0.0,4.000694449,328.0,21.20121951,0.225609756,1.797814208,0.0,0.000155838,1.786585366,0,1e-06,0.0010005,1.0
